Network	Station	Phase	Time	Time_trunc
AZ	TRO	S	2016-06-10T00:00:55.608300	2016-06-10T00:00:55
AZ	TRO	S	2016-06-10T01:36:32.108300	2016-06-10T01:36:32
AZ	TRO	S	2016-06-10T01:41:19.508300	2016-06-10T01:41:19
AZ	TRO	S	2016-06-10T02:17:41.708300	2016-06-10T02:17:41
AZ	TRO	S	2016-06-10T03:46:52.108300	2016-06-10T03:46:52
AZ	TRO	S	2016-06-10T04:10:56.808300	2016-06-10T04:10:56
AZ	TRO	S	2016-06-10T04:13:17.008300	2016-06-10T04:13:17
AZ	TRO	S	2016-06-10T04:29:07.408300	2016-06-10T04:29:07
AZ	TRO	S	2016-06-10T04:43:13.308300	2016-06-10T04:43:13
AZ	TRO	S	2016-06-10T04:43:54.308300	2016-06-10T04:43:54
AZ	TRO	S	2016-06-10T04:44:08.508300	2016-06-10T04:44:08
AZ	TRO	S	2016-06-10T04:46:20.108300	2016-06-10T04:46:20
AZ	TRO	S	2016-06-10T04:47:06.108300	2016-06-10T04:47:06
AZ	TRO	S	2016-06-10T06:09:44.508300	2016-06-10T06:09:44
AZ	TRO	S	2016-06-10T08:08:55.908300	2016-06-10T08:08:55
AZ	TRO	S	2016-06-10T08:09:02.908300	2016-06-10T08:09:02
AZ	TRO	S	2016-06-10T08:10:17.408300	2016-06-10T08:10:17
AZ	TRO	S	2016-06-10T08:10:22.308300	2016-06-10T08:10:22
AZ	TRO	S	2016-06-10T08:10:24.308300	2016-06-10T08:10:24
AZ	TRO	S	2016-06-10T08:11:54.808300	2016-06-10T08:11:54
AZ	TRO	S	2016-06-10T08:11:54.808300	2016-06-10T08:11:54
AZ	TRO	S	2016-06-10T08:14:35.908300	2016-06-10T08:14:35
AZ	TRO	S	2016-06-10T08:14:39.108300	2016-06-10T08:14:39
AZ	TRO	S	2016-06-10T08:14:44.908300	2016-06-10T08:14:44
AZ	TRO	S	2016-06-10T08:15:02.108300	2016-06-10T08:15:02
AZ	TRO	S	2016-06-10T08:15:59.808300	2016-06-10T08:15:59
AZ	TRO	S	2016-06-10T08:17:27.308300	2016-06-10T08:17:27
AZ	TRO	S	2016-06-10T08:23:29.208300	2016-06-10T08:23:29
AZ	TRO	S	2016-06-10T08:24:11.808300	2016-06-10T08:24:11
AZ	TRO	S	2016-06-10T08:25:16.008300	2016-06-10T08:25:16
AZ	TRO	S	2016-06-10T08:26:24.008300	2016-06-10T08:26:24
AZ	TRO	S	2016-06-10T08:27:01.008300	2016-06-10T08:27:01
AZ	TRO	P	2016-06-10T08:37:10.708300	2016-06-10T08:37:10
AZ	TRO	S	2016-06-10T08:26:24.008300	2016-06-10T08:26:24
AZ	TRO	S	2016-06-10T08:27:01.008300	2016-06-10T08:27:01
AZ	TRO	S	2016-06-10T08:28:36.808300	2016-06-10T08:28:36
AZ	TRO	S	2016-06-10T08:33:49.608300	2016-06-10T08:33:49
AZ	TRO	S	2016-06-10T08:39:42.508300	2016-06-10T08:39:42
AZ	TRO	S	2016-06-10T08:42:25.808300	2016-06-10T08:42:25
AZ	TRO	S	2016-06-10T08:42:25.808300	2016-06-10T08:42:25
AZ	TRO	S	2016-06-10T08:43:48.608300	2016-06-10T08:43:48
AZ	TRO	S	2016-06-10T08:44:58.808300	2016-06-10T08:44:58
AZ	TRO	S	2016-06-10T08:45:07.408300	2016-06-10T08:45:07
AZ	TRO	S	2016-06-10T08:46:27.608300	2016-06-10T08:46:27
AZ	TRO	S	2016-06-10T08:48:44.308300	2016-06-10T08:48:44
AZ	TRO	S	2016-06-10T08:49:12.408300	2016-06-10T08:49:12
AZ	TRO	S	2016-06-10T08:50:57.608300	2016-06-10T08:50:57
AZ	TRO	S	2016-06-10T08:51:22.008300	2016-06-10T08:51:22
AZ	TRO	S	2016-06-10T08:51:37.608300	2016-06-10T08:51:37
AZ	TRO	S	2016-06-10T08:52:43.908300	2016-06-10T08:52:43
AZ	TRO	P	2016-06-10T09:07:03.008300	2016-06-10T09:07:03
AZ	TRO	S	2016-06-10T08:58:40.808300	2016-06-10T08:58:40
AZ	TRO	S	2016-06-10T08:59:20.508300	2016-06-10T08:59:20
AZ	TRO	S	2016-06-10T09:00:44.408300	2016-06-10T09:00:44
AZ	TRO	S	2016-06-10T09:02:01.908300	2016-06-10T09:02:01
AZ	TRO	S	2016-06-10T09:08:47.908300	2016-06-10T09:08:47
AZ	TRO	S	2016-06-10T09:09:08.508300	2016-06-10T09:09:08
AZ	TRO	S	2016-06-10T09:11:17.108300	2016-06-10T09:11:17
AZ	TRO	S	2016-06-10T09:11:28.708300	2016-06-10T09:11:28
AZ	TRO	S	2016-06-10T09:15:56.808300	2016-06-10T09:15:56
AZ	TRO	S	2016-06-10T09:17:56.208300	2016-06-10T09:17:56
AZ	TRO	S	2016-06-10T09:18:16.808300	2016-06-10T09:18:16
AZ	TRO	S	2016-06-10T09:20:18.908300	2016-06-10T09:20:18
AZ	TRO	S	2016-06-10T09:21:38.908300	2016-06-10T09:21:38
AZ	TRO	S	2016-06-10T09:23:43.008300	2016-06-10T09:23:43
AZ	TRO	S	2016-06-10T09:26:12.108300	2016-06-10T09:26:12
AZ	TRO	S	2016-06-10T09:27:01.408300	2016-06-10T09:27:01
AZ	TRO	P	2016-06-10T09:29:28.408300	2016-06-10T09:29:28
AZ	TRO	S	2016-06-10T09:28:54.208300	2016-06-10T09:28:54
AZ	TRO	S	2016-06-10T09:30:21.908300	2016-06-10T09:30:21
AZ	TRO	S	2016-06-10T09:32:56.108300	2016-06-10T09:32:56
AZ	TRO	S	2016-06-10T09:34:40.008300	2016-06-10T09:34:40
AZ	TRO	S	2016-06-10T09:35:13.608300	2016-06-10T09:35:13
AZ	TRO	S	2016-06-10T09:35:32.508300	2016-06-10T09:35:32
AZ	TRO	S	2016-06-10T09:35:53.008300	2016-06-10T09:35:53
AZ	TRO	S	2016-06-10T09:35:59.808300	2016-06-10T09:35:59
AZ	TRO	S	2016-06-10T09:36:46.108300	2016-06-10T09:36:46
AZ	TRO	S	2016-06-10T09:41:18.208300	2016-06-10T09:41:18
AZ	TRO	S	2016-06-10T09:44:13.808300	2016-06-10T09:44:13
AZ	TRO	S	2016-06-10T09:47:21.508300	2016-06-10T09:47:21
AZ	TRO	S	2016-06-10T09:48:04.608300	2016-06-10T09:48:04
AZ	TRO	S	2016-06-10T09:48:43.208300	2016-06-10T09:48:43
AZ	TRO	S	2016-06-10T09:49:58.408300	2016-06-10T09:49:58
AZ	TRO	S	2016-06-10T09:52:20.908300	2016-06-10T09:52:20
AZ	TRO	S	2016-06-10T09:54:02.708300	2016-06-10T09:54:02
AZ	TRO	S	2016-06-10T09:54:08.108300	2016-06-10T09:54:08
AZ	TRO	S	2016-06-10T09:54:39.608300	2016-06-10T09:54:39
AZ	TRO	S	2016-06-10T09:56:48.408300	2016-06-10T09:56:48
AZ	TRO	P	2016-06-10T10:04:19.808300	2016-06-10T10:04:19
AZ	TRO	S	2016-06-10T10:04:47.908300	2016-06-10T10:04:47
AZ	TRO	S	2016-06-10T10:05:59.708300	2016-06-10T10:05:59
AZ	TRO	S	2016-06-10T10:10:45.008300	2016-06-10T10:10:45
AZ	TRO	S	2016-06-10T10:11:53.008300	2016-06-10T10:11:53
AZ	TRO	S	2016-06-10T10:15:59.608300	2016-06-10T10:15:59
AZ	TRO	S	2016-06-10T10:17:08.408300	2016-06-10T10:17:08
AZ	TRO	S	2016-06-10T10:17:26.108300	2016-06-10T10:17:26
AZ	TRO	S	2016-06-10T10:18:00.108300	2016-06-10T10:18:00
AZ	TRO	S	2016-06-10T10:18:52.008300	2016-06-10T10:18:52
AZ	TRO	S	2016-06-10T10:19:13.308300	2016-06-10T10:19:13
AZ	TRO	S	2016-06-10T10:20:17.208300	2016-06-10T10:20:17
AZ	TRO	S	2016-06-10T10:20:42.008300	2016-06-10T10:20:42
AZ	TRO	S	2016-06-10T10:21:32.608300	2016-06-10T10:21:32
AZ	TRO	S	2016-06-10T10:26:15.808300	2016-06-10T10:26:15
AZ	TRO	S	2016-06-10T10:35:12.208300	2016-06-10T10:35:12
AZ	TRO	S	2016-06-10T10:36:05.908300	2016-06-10T10:36:05
AZ	TRO	S	2016-06-10T10:37:10.908300	2016-06-10T10:37:10
AZ	TRO	S	2016-06-10T10:38:00.508300	2016-06-10T10:38:00
AZ	TRO	S	2016-06-10T10:43:04.808300	2016-06-10T10:43:04
AZ	TRO	S	2016-06-10T10:45:10.008300	2016-06-10T10:45:10
AZ	TRO	S	2016-06-10T10:45:10.008300	2016-06-10T10:45:10
