# Network Station Phase Time Probability
AZ TRO S 2016-06-10T02:21:45.508300 0.993
AZ TRO P 2016-06-10T08:05:39.008300 0.975
AZ TRO P 2016-06-10T08:06:25.408300 0.976
AZ TRO P 2016-06-10T08:11:09.208300 0.961
AZ TRO S 2016-06-10T08:05:40.908300 0.970
AZ TRO S 2016-06-10T08:07:16.108300 0.987
AZ TRO S 2016-06-10T08:07:38.508300 0.989
AZ TRO S 2016-06-10T08:07:55.508300 0.986
AZ TRO S 2016-06-10T08:08:10.008300 0.950
AZ TRO S 2016-06-10T08:09:16.508300 0.953
AZ TRO S 2016-06-10T08:09:26.308300 0.985
AZ TRO S 2016-06-10T08:09:53.608300 0.977
AZ TRO S 2016-06-10T08:10:27.308300 0.982
AZ TRO S 2016-06-10T08:11:11.508300 0.983
AZ TRO S 2016-06-10T08:11:33.208300 0.990
AZ TRO S 2016-06-10T08:11:39.208300 0.990
AZ TRO S 2016-06-10T08:11:44.908300 0.987
AZ TRO P 2016-06-10T08:11:09.208300 0.961
AZ TRO P 2016-06-10T08:18:34.308300 0.986
AZ TRO P 2016-06-10T08:20:21.808300 0.955
AZ TRO S 2016-06-10T08:11:11.508300 0.983
AZ TRO S 2016-06-10T08:11:33.208300 0.990
AZ TRO S 2016-06-10T08:11:39.208300 0.990
AZ TRO S 2016-06-10T08:11:44.908300 0.987
AZ TRO S 2016-06-10T08:12:52.908300 0.955
AZ TRO S 2016-06-10T08:13:10.108300 0.979
AZ TRO S 2016-06-10T08:14:18.308300 0.953
AZ TRO S 2016-06-10T08:14:47.008300 0.991
AZ TRO S 2016-06-10T08:15:04.608300 0.987
AZ TRO S 2016-06-10T08:15:32.208300 0.985
AZ TRO S 2016-06-10T08:16:12.308300 0.986
AZ TRO S 2016-06-10T08:16:29.408300 0.996
AZ TRO S 2016-06-10T08:16:52.008300 0.977
AZ TRO S 2016-06-10T08:17:07.708300 0.981
AZ TRO S 2016-06-10T08:17:12.008300 0.971
AZ TRO S 2016-06-10T08:17:15.908300 0.967
AZ TRO S 2016-06-10T08:17:44.308300 0.995
AZ TRO S 2016-06-10T08:17:56.108300 0.985
AZ TRO S 2016-06-10T08:18:29.408300 0.989
AZ TRO S 2016-06-10T08:18:36.608300 0.992
AZ TRO S 2016-06-10T08:20:24.208300 0.995
AZ TRO S 2016-06-10T08:21:28.308300 0.960
AZ TRO S 2016-06-10T08:21:35.308300 0.992
AZ TRO S 2016-06-10T08:21:57.608300 0.978
AZ TRO S 2016-06-10T08:22:29.408300 0.958
AZ TRO S 2016-06-10T08:23:21.208300 0.977
AZ TRO S 2016-06-10T08:25:21.708300 0.971
AZ TRO S 2016-06-10T08:26:12.108300 0.965
AZ TRO S 2016-06-10T08:26:53.408300 0.986
AZ TRO S 2016-06-10T08:27:12.708300 0.987
AZ TRO P 2016-06-10T08:30:48.908300 0.974
AZ TRO P 2016-06-10T08:34:00.108300 0.972
AZ TRO P 2016-06-10T08:37:27.008300 0.975
AZ TRO P 2016-06-10T08:39:50.508300 0.952
AZ TRO S 2016-06-10T08:26:12.108300 0.965
AZ TRO S 2016-06-10T08:26:53.408300 0.986
AZ TRO S 2016-06-10T08:27:12.708300 0.987
AZ TRO S 2016-06-10T08:27:44.608300 0.987
AZ TRO S 2016-06-10T08:28:19.708300 0.991
AZ TRO S 2016-06-10T08:28:30.208300 0.991
AZ TRO S 2016-06-10T08:29:17.308300 0.958
AZ TRO S 2016-06-10T08:30:11.508300 0.986
AZ TRO S 2016-06-10T08:30:25.808300 0.993
AZ TRO S 2016-06-10T08:30:51.208300 0.991
AZ TRO S 2016-06-10T08:31:15.408300 0.951
AZ TRO S 2016-06-10T08:31:26.108300 0.969
AZ TRO S 2016-06-10T08:31:35.408300 0.987
AZ TRO S 2016-06-10T08:31:49.008300 0.988
AZ TRO S 2016-06-10T08:32:49.808300 0.984
AZ TRO S 2016-06-10T08:33:20.608300 0.981
AZ TRO S 2016-06-10T08:36:00.708300 0.968
AZ TRO S 2016-06-10T08:36:23.408300 0.984
AZ TRO S 2016-06-10T08:36:31.408300 0.992
AZ TRO S 2016-06-10T08:36:37.808300 0.969
AZ TRO S 2016-06-10T08:36:54.408300 0.990
AZ TRO S 2016-06-10T08:37:29.108300 0.995
AZ TRO S 2016-06-10T08:37:33.808300 0.993
AZ TRO S 2016-06-10T08:37:40.508300 0.979
AZ TRO S 2016-06-10T08:38:07.908300 0.982
AZ TRO S 2016-06-10T08:39:05.508300 0.974
AZ TRO S 2016-06-10T08:39:15.308300 0.993
AZ TRO S 2016-06-10T08:39:52.808300 0.987
AZ TRO S 2016-06-10T08:40:33.708300 0.991
AZ TRO S 2016-06-10T08:41:00.408300 0.976
AZ TRO S 2016-06-10T08:41:36.508300 0.971
AZ TRO S 2016-06-10T08:41:57.808300 0.991
AZ TRO P 2016-06-10T08:46:49.108300 0.985
AZ TRO S 2016-06-10T08:41:36.508300 0.971
AZ TRO S 2016-06-10T08:41:57.808300 0.991
AZ TRO S 2016-06-10T08:43:13.908300 0.970
AZ TRO S 2016-06-10T08:43:28.708300 0.967
AZ TRO S 2016-06-10T08:44:24.008300 0.992
AZ TRO S 2016-06-10T08:45:35.508300 0.989
AZ TRO S 2016-06-10T08:46:00.308300 0.991
AZ TRO S 2016-06-10T08:46:19.208300 0.983
AZ TRO S 2016-06-10T08:46:30.208300 0.963
